MS46122B
!1950303/94120156
!11/28/2024.3:10:41.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: ONE.PORT.CAL.PORT 1,2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S11               	S11               	S12               
!PORT:        	PORT1             	PORT1             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	IMPEDANCE.RIM     	SMITH.IMPEDANCE   	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	RESISTANCE2	REACTANCE2	FREQ3.GHZ	RESISTANCE3	REACTANCE3	FREQ4.GHZ	LOGMAG4
168	3.170000000	-8.433905E-001	3.170000000	2.771662E+000	1.886149E+001	3.170000000	2.771662E+000	1.886149E+001	3.170000000	-5.088358E+001
169	3.180000000	-8.554190E-001	3.180000000	2.841858E+000	1.966872E+001	3.180000000	2.841858E+000	1.966872E+001	3.180000000	-5.118626E+001
170	3.190000000	-8.930004E-001	3.190000000	3.007519E+000	2.065329E+001	3.190000000	3.007519E+000	2.065328E+001	3.190000000	-5.141130E+001
171	3.200000000	-8.595315E-001	3.200000000	2.937007E+000	2.165669E+001	3.200000000	2.937007E+000	2.165669E+001	3.200000000	-5.130257E+001
172	3.210000000	-8.252976E-001	3.210000000	2.853450E+000	2.245036E+001	3.210000000	2.853450E+000	2.245036E+001	3.210000000	-5.199097E+001
173	3.220000000	-8.452004E-001	3.220000000	2.958101E+000	2.325504E+001	3.220000000	2.958101E+000	2.325504E+001	3.220000000	-5.189657E+001
174	3.230000000	-8.224179E-001	3.230000000	2.920652E+000	2.419301E+001	3.230000000	2.920652E+000	2.419301E+001	3.230000000	-5.141074E+001
175	3.240000000	-7.789609E-001	3.240000000	2.802510E+000	2.500979E+001	3.240000000	2.802510E+000	2.500978E+001	3.240000000	-5.155479E+001
176	3.250000000	-8.086143E-001	3.250000000	2.945150E+000	2.576918E+001	3.250000000	2.945150E+000	2.576918E+001	3.250000000	-5.242584E+001
177	3.260000000	-8.245590E-001	3.260000000	3.054355E+000	2.679147E+001	3.260000000	3.054356E+000	2.679147E+001	3.260000000	-5.160748E+001
178	3.270000000	-8.012311E-001	3.270000000	3.017275E+000	2.776868E+001	3.270000000	3.017275E+000	2.776868E+001	3.270000000	-5.173480E+001
179	3.280000000	-8.265514E-001	3.280000000	3.157500E+000	2.860290E+001	3.280000000	3.157499E+000	2.860290E+001	3.280000000	-5.265929E+001
180	3.290000000	-8.827201E-001	3.290000000	3.437418E+000	2.970203E+001	3.290000000	3.437419E+000	2.970203E+001	3.290000000	-5.272949E+001
181	3.300000000	-8.512152E-001	3.300000000	3.387044E+000	3.091538E+001	3.300000000	3.387044E+000	3.091538E+001	3.300000000	-5.172414E+001
182	3.310000000	-8.313885E-001	3.310000000	3.363151E+000	3.182841E+001	3.310000000	3.363151E+000	3.182841E+001	3.310000000	-5.393682E+001
183	3.320000000	-8.658810E-001	3.320000000	3.568878E+000	3.285049E+001	3.320000000	3.568879E+000	3.285049E+001	3.320000000	-5.476691E+001
184	3.330000000	-8.393700E-001	3.330000000	3.534747E+000	3.400999E+001	3.330000000	3.534748E+000	3.400999E+001	3.330000000	-5.366320E+001
185	3.340000000	-7.898302E-001	3.340000000	3.387975E+000	3.499421E+001	3.340000000	3.387975E+000	3.499421E+001	3.340000000	-5.258745E+001
186	3.350000000	-8.208705E-001	3.350000000	3.581505E+000	3.589085E+001	3.350000000	3.581506E+000	3.589085E+001	3.350000000	-5.454058E+001
187	3.360000000	-8.485568E-001	3.360000000	3.788377E+000	3.709162E+001	3.360000000	3.788378E+000	3.709162E+001	3.360000000	-5.395699E+001
188	3.370000000	-8.197587E-001	3.370000000	3.745462E+000	3.829248E+001	3.370000000	3.745462E+000	3.829249E+001	3.370000000	-5.428619E+001
189	3.380000000	-8.523005E-001	3.380000000	3.973326E+000	3.932507E+001	3.380000000	3.973325E+000	3.932506E+001	3.380000000	-5.512620E+001
190	3.390000000	-8.914089E-001	3.390000000	4.260932E+000	4.059881E+001	3.390000000	4.260932E+000	4.059881E+001	3.390000000	-5.560456E+001
191	3.400000000	-8.673457E-001	3.400000000	4.267348E+000	4.206483E+001	3.400000000	4.267349E+000	4.206483E+001	3.400000000	-5.496085E+001
192	3.410000000	-8.495652E-001	3.410000000	4.271267E+000	4.315765E+001	3.410000000	4.271266E+000	4.315766E+001	3.410000000	-5.560057E+001
193	3.420000000	-8.770447E-001	3.420000000	4.512629E+000	4.431631E+001	3.420000000	4.512629E+000	4.431631E+001	3.420000000	-5.709814E+001
194	3.430000000	-8.643848E-001	3.430000000	4.579931E+000	4.578661E+001	3.430000000	4.579930E+000	4.578660E+001	3.430000000	-5.658492E+001
195	3.440000000	-8.090023E-001	3.440000000	4.387912E+000	4.696236E+001	3.440000000	4.387913E+000	4.696236E+001	3.440000000	-5.587992E+001
196	3.450000000	-8.296447E-001	3.450000000	4.594026E+000	4.799152E+001	3.450000000	4.594026E+000	4.799152E+001	3.450000000	-5.506482E+001
197	3.460000000	-8.682464E-001	3.460000000	4.946234E+000	4.939830E+001	3.460000000	4.946235E+000	4.939830E+001	3.460000000	-5.717231E+001
198	3.470000000	-8.426613E-001	3.470000000	4.952878E+000	5.095827E+001	3.470000000	4.952876E+000	5.095827E+001	3.470000000	-5.680476E+001
199	3.480000000	-8.645351E-001	3.480000000	5.210251E+000	5.219973E+001	3.480000000	5.210253E+000	5.219973E+001	3.480000000	-5.747341E+001
200	3.490000000	-9.209308E-001	3.490000000	5.724520E+000	5.372716E+001	3.490000000	5.724518E+000	5.372715E+001	3.490000000	-5.663549E+001
201	3.500000000	-9.290487E-001	3.500000000	6.003603E+000	5.566194E+001	3.500000000	6.003603E+000	5.566194E+001	3.500000000	-5.647705E+001
